ticker,index_ticker,comment
IDXX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IEX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IFF,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ILMN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
INCY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
INFO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
INTC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
INTU,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IPG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IPGP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IQV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IRM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ISRG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ITW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IVZ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
J,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JBHT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JCI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JKHY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JNJ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JNPR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JPM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
JWN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
K,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KEY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KEYS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
